[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/CallToAction.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1161] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Hero.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 2018] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/MarkdownContent.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 3783] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/RightSidebarPanel.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1565] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/TableOfContents/TableOfContentsList.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 2850] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/TableOfContents/MobileTableOfContents.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 2580] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Badge.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 2390] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/SidebarSublist.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 2570] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Sidebar.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 965] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/SkipLink.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 963] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/MobileMenuToggle.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 799] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/MobileMenuToggle.astro?astro&type=style&index=1&lang.css" [Client 192.168.65.1] [Length 1429] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/layout/PageFrame.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 2057] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/layout/TwoColumnContent.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1333] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/Banner.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1054] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/layout/Page.astro?astro&type=style&index=0&lang.css" [Client 192.168.65.1] [Length 1060] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/components/TableOfContents/starlight-toc.ts?v=c230e880" [Client 192.168.65.1] [Length 10302] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/node_modules/@astrojs/starlight/components/TableOfContents.astro?astro&type=script&index=0&lang.ts"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/vite/dist/client/env.mjs" [Client 192.168.65.1] [Length 3344] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/@vite/client"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/node_modules/@astrojs/starlight/style/asides.css" [Client 192.168.65.1] [Length 1855] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/" [Client 192.168.65.1] [Length 21010] [Gzip 3.79] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[15/Aug/2024:16:16:10 +0000] - 404 404 - GET http localhost "/_image?href=%2F%40fs%2Fstarlight%2Fsrc%2Fassets%2Flogo.webp%3ForigWidth%3D1667%26origHeight%3D573%26origFormat%3Dwebp&w=400&h=400&f=webp" [Client 192.168.65.1] [Length 77696] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:10 +0000] - 200 200 - GET http localhost "/favicon.svg" [Client 192.168.65.1] [Length 696] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:51 +0000] - 200 200 - GET http localhost "/introduction/00-docker/" [Client 192.168.65.1] [Length 23751] [Gzip 4.13] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/"
[15/Aug/2024:16:16:51 +0000] - 304 304 - GET http localhost "/node_modules/@astrojs/starlight/components/LanguageSelect.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/introduction/00-docker/"
[15/Aug/2024:16:16:51 +0000] - 304 304 - GET http localhost "/node_modules/@astrojs/starlight/components/Search.astro?astro&type=script&index=0&lang.ts" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to starlight-app] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "http://localhost/introduction/00-docker/"
